name,nameScientific,nameCN,namePinyin,property,meridianTropism,flavour,toxicology,storage,characteristics,placeOfOrigin,medicinePart,method,effect,usage,dosage,prohibition,imageLink
Mugwort,Artemisia vulgaris,艾叶,Ai Ye,温 Warm,"肝经 Liver,脾经 Spleen,肾经 Kidney","辛 Pungent,苦 Bitter",Slightly poisonous,Store in a cool dry place,"This product is more shrunken, broken, and has a short handle. The complete leaves are oval-elliptic after flattening, pinnately deeply lobed, lobes elliptic-lanceolate , with irregular coarse serrations on the edges; the upper surface is gray-green or dark yellow-green, with sparse pilose and glandular points; the lower The surface is densely gray-white fluff. Soft texture . Gas delicate fragrance, bitter taste.","Mainly produced in Henan, Hubei, Anhui, Shandong, Hebei.",Dry leaves of the plant.,"1. Artemisia argyi: Remove impurities and stems, and sieve to remove dust.

2. Vinegar moxa charcoal: take clean mugwort leaves, put them in a pot, heat them with strong fire , fry until the surface is burnt black, spray vinegar, fry dry , take out and cool thoroughly. For every 100kg of mugwort leaves, use 15kg of vinegar. The finished product is scorched black irregular fragments with thin strip-like petioles visible , and has a vinegar aroma.","Warming meridian for hemostasis, expelling cold for relieving pain; external use for dispelling dampness and relieving itching.","For hematemesis, epistaxis, uterine bleeding, menorrhagia, fetal leakage, cold pain in the lower abdomen, irregular menstruation, uterine cold infertility; external treatment of skin itching. 

Vinegar, moxa and charcoal warm the meridians to stop bleeding, and are used for bleeding due to deficiency and cold.","Decoction , 3-9 g, or into pills or powder ; or pounded into juice. Appropriate amount for external use, for moxibustion or fumigation .","This product is warm and dry in nature , and should be used with caution in patients with yin deficiency and blood heat. Slightly toxic, do not overdose .",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fmugwort.jpg?alt=media&token=94ba03c0-e20b-406c-8546-e7b933d8dc96
,,安息香,An Xi Xiang,温 Warm,"心经 Heart,肝经 Liver,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,八角茴香,Ba Jiao Hui Xiang,温 Warm,"脾经 Spleen,肾经 Kidney","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,巴豆,Ba Dou,热 Hot,"胃经 Stomach,大肠经 Large Intestine",辛 Pungent,,,,,,,,,,,
,,巴豆霜,Ba Dou Shuang,热 Hot,"胃经 Stomach,大肠经 Large Intestine",辛 Pungent,,,,,,,,,,,
,,巴戟天,Ba Ji Tian,温 Warm,"肝经 Liver,肾经 Kidney","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,菝葜,Ba Qia,平 Neutral,"肝经 Liver,肾经 Kidney","甘 Sweet,苦 Bitter,涩 Astringent",,,,,,,,,,,
,,白扁豆,Bai Bian Dou,温 Warm,"脾经 Spleen,胃经 Stomach",甘 Sweet,,,,,,,,,,,
,,白附子,Bai Fu Zi,温 Warm,"胃经 Stomach,肝经 Liver",辛 Pungent,,,,,,,,,,,
,,白果,Bai Guo,平 Neutral,"肺经 Lung,肾经 Kidney","甘 Sweet,苦 Bitter,涩 Astringent",,,,,,,,,,,
